TransactionAmount,TransactionType,Channel,CustomerAge,TransactionDuration,CustomerOccupation,AccountBalance,Cluster
262.22,Credit,ATM,40,136,Engineer,5711.71,0
41.49,Debit,Online,24,13,Student,928.33,1
121.43,Credit,Branch,52,243,Engineer,7365.28,0
350.46,Debit,Branch,51,165,Retired,5839.38,0
220.41,Credit,Online,26,155,Engineer,5116.98,0
33.46,Debit,ATM,72,111,Retired,3641.07,1
104.79,Debit,ATM,70,223,Doctor,1352.19,1
246.27,Debit,Online,29,141,Doctor,7299.86,0
48.85,Debit,ATM,19,176,Student,1503.56,1
332.0,Debit,ATM,69,17,Retired,5943.13,0
118.1,Debit,Online,54,167,Engineer,895.66,1
84.59,Credit,Branch,67,10,Doctor,5669.1,0
295.64,Debit,Online,21,82,Student,1061.96,1
514.33,Debit,Branch,25,160,Student,1592.94,1
94.59,Debit,Online,39,34,Doctor,6171.89,0
80.43,Debit,Branch,59,157,Retired,5987.67,0
54.25,Debit,Online,68,37,Doctor,14783.33,2
518.85,Debit,Online,22,82,Student,1806.0,1
10.65,Debit,Online,54,161,Doctor,13240.72,2
198.62,Credit,Branch,27,84,Student,1196.07,1
107.03,Debit,Branch,27,73,Student,1408.07,1
346.11,Debit,Branch,41,213,Engineer,9551.64,2
138.06,Debit,Branch,44,159,Engineer,1070.47,1
158.02,Debit,ATM,49,120,Engineer,9374.24,2
830.01,Credit,Online,66,96,Retired,4253.18,0
435.5,Debit,ATM,55,112,Retired,6981.03,0
110.49,Debit,Online,57,48,Doctor,10483.93,2
329.4,Debit,Online,34,68,Doctor,9588.07,2
635.4,Debit,ATM,47,106,Doctor,1238.11,1
769.97,Debit,Branch,22,23,Student,1244.93,1
175.07,Debit,Branch,26,169,Student,1040.25,1
7.31,Debit,Branch,78,282,Retired,5757.67,0
175.15,Debit,ATM,27,32,Student,1712.65,1
121.82,Debit,Online,60,119,Doctor,13293.83,2
56.12,Debit,ATM,30,102,Doctor,8839.67,0
424.7,Credit,Online,56,178,Retired,6239.89,0
35.16,Debit,Branch,32,130,Engineer,8459.18,0
35.73,Debit,Branch,65,87,Doctor,9073.17,0
3.44,Debit,ATM,78,108,Retired,7561.33,0
139.03,Credit,Online,50,81,Engineer,2276.57,1
254.92,Credit,ATM,28,169,Engineer,2791.12,1
115.11,Debit,Online,28,139,Engineer,9808.97,2
171.11,Debit,ATM,57,171,Retired,6324.09,0
420.76,Debit,Branch,51,76,Retired,6581.55,0
408.46,Debit,Branch,64,28,Retired,3140.79,1
342.17,Credit,Branch,21,247,Student,461.83,1
580.71,Debit,ATM,53,95,Engineer,5670.0,0
821.54,Credit,Branch,79,36,Retired,4040.32,1
253.47,Debit,Branch,20,238,Student,220.51,1
22.81,Debit,Online,62,75,Retired,3634.76,1
266.57,Credit,Online,39,96,Engineer,7180.48,0
374.61,Credit,Online,75,37,Retired,1389.71,1
339.35,Credit,ATM,78,70,Retired,5002.7,0
810.36,Debit,ATM,20,67,Student,9239.12,2
9.83,Debit,ATM,24,86,Student,666.42,1
135.57,Credit,Branch,51,116,Doctor,11351.64,2
340.05,Debit,ATM,43,37,Engineer,7234.15,0
283.45,Debit,Branch,27,127,Engineer,2049.51,1
100.99,Debit,ATM,68,114,Doctor,8865.27,0
90.88,Debit,Branch,18,176,Student,3908.47,1
655.15,Debit,ATM,26,264,Engineer,5587.44,0
320.55,Debit,Online,50,118,Engineer,438.75,1
41.51,Debit,Online,28,48,Student,609.6,1
71.53,Credit,Branch,68,39,Retired,2393.73,1
467.13,Credit,Branch,54,45,Retired,3914.84,1
235.4,Debit,Branch,28,70,Student,818.36,1
159.32,Debit,Branch,18,100,Student,304.44,1
50.83,Credit,Online,30,48,Doctor,9553.42,2
56.89,Credit,Branch,59,56,Engineer,3034.67,1
20.22,Debit,ATM,43,138,Engineer,5515.32,0
50.4,Debit,Branch,36,84,Doctor,1677.01,1
73.88,Debit,Branch,53,131,Retired,4055.55,1
119.61,Debit,ATM,33,53,Doctor,9899.94,2
116.58,Debit,Branch,43,247,Engineer,2620.74,1
391.96,Debit,ATM,64,79,Retired,2174.16,1
156.26,Credit,Branch,46,160,Engineer,7854.1,0
427.0,Credit,Branch,49,163,Engineer,8253.65,0
443.68,Debit,ATM,18,137,Student,874.15,1
101.76,Debit,Branch,31,26,Doctor,6043.25,0
67.57,Debit,Branch,37,107,Engineer,2766.12,1
326.29,Debit,Online,56,179,Engineer,8171.26,0
158.56,Debit,ATM,33,100,Doctor,5401.21,0
56.02,Debit,Online,27,142,Student,3548.02,1
288.28,Debit,Online,27,36,Student,160.83,1
245.67,Credit,Branch,24,107,Student,752.25,1
114.35,Credit,Branch,41,21,Engineer,469.12,1
373.27,Credit,Online,61,79,Doctor,8441.61,0
504.63,Debit,Online,60,168,Engineer,3806.16,1
820.15,Debit,Branch,47,181,Doctor,8802.97,0
8.37,Debit,ATM,63,135,Retired,1106.34,1
197.49,Credit,Online,53,30,Retired,5005.33,0
637.97,Debit,Branch,58,90,Retired,7949.03,0
13.52,Debit,ATM,26,65,Student,259.77,1
432.1,Debit,ATM,49,240,Engineer,2114.3,1
642.68,Debit,Branch,50,94,Doctor,8461.46,0
78.44,Credit,Online,52,292,Retired,6870.84,0
139.72,Debit,Branch,49,201,Engineer,5058.83,0
499.99,Debit,Branch,31,296,Engineer,8885.0,0
10.07,Debit,Online,24,49,Student,530.81,1
120.62,Debit,ATM,23,85,Student,9379.53,2
578.49,Debit,Branch,59,180,Retired,6475.13,0
280.92,Debit,Online,41,168,Doctor,5298.85,0
42.42,Debit,Online,21,102,Student,490.57,1
77.03,Debit,ATM,67,259,Doctor,11310.27,2
22.59,Debit,ATM,62,45,Retired,3988.75,1
568.76,Debit,ATM,51,155,Retired,7484.32,0
105.94,Debit,Branch,51,207,Engineer,5963.1,0
350.15,Credit,ATM,21,195,Student,296.47,1
183.67,Debit,Online,19,238,Student,910.26,1
278.27,Debit,Branch,29,123,Doctor,6684.34,0
470.3,Debit,ATM,40,88,Doctor,8524.09,0
261.69,Debit,ATM,53,84,Retired,5126.65,0
365.04,Debit,Branch,22,94,Student,873.89,1
211.1,Debit,Branch,57,136,Retired,7059.77,0
21.49,Debit,ATM,58,240,Doctor,11991.24,2
63.58,Debit,ATM,18,199,Student,8086.04,0
321.86,Debit,ATM,63,167,Doctor,12626.49,2
12.11,Debit,Branch,75,127,Retired,1730.28,1
642.54,Debit,Branch,44,28,Engineer,3143.17,1
210.45,Debit,ATM,27,146,Student,1242.49,1
313.65,Credit,Branch,55,173,Retired,1886.36,1
99.76,Debit,Branch,26,131,Student,416.89,1
115.32,Debit,Branch,53,113,Retired,5929.08,0
33.61,Debit,Online,23,72,Student,479.08,1
498.59,Credit,Online,33,32,Doctor,5862.99,0
98.81,Debit,Branch,27,91,Student,797.1,1
1.87,Debit,ATM,65,147,Retired,7287.94,0
78.92,Credit,Online,59,95,Engineer,5624.86,0
194.29,Credit,Branch,39,10,Engineer,2988.41,1
28.73,Debit,ATM,53,185,Engineer,2712.96,1
105.53,Debit,Online,24,88,Student,1433.66,1
737.34,Debit,Online,30,34,Doctor,7336.56,0
237.86,Debit,ATM,18,210,Student,475.63,1
409.61,Debit,Branch,65,89,Doctor,11698.15,2
75.53,Credit,Online,21,157,Student,1034.35,1
72.75,Debit,ATM,64,15,Doctor,12042.79,2
39.11,Debit,Online,26,143,Student,518.54,1
729.38,Debit,ATM,68,90,Doctor,9127.65,2
137.49,Debit,ATM,34,50,Engineer,4471.05,0
504.71,Debit,Online,29,61,Engineer,6214.54,0
371.47,Credit,Branch,24,58,Student,1187.04,1
430.35,Debit,Online,36,205,Doctor,354.9,1
230.32,Debit,Branch,35,56,Engineer,791.46,1
121.71,Debit,ATM,52,140,Retired,5878.89,0
98.87,Debit,Online,20,179,Student,533.2,1
117.55,Debit,ATM,24,35,Student,897.94,1
244.64,Debit,Branch,30,103,Doctor,9159.56,2
321.93,Debit,ATM,45,12,Engineer,4392.73,0
283.23,Debit,Online,40,98,Engineer,2008.77,1
346.65,Debit,Online,30,60,Engineer,6356.96,0
381.62,Debit,Online,64,164,Retired,6009.12,0
388.65,Debit,ATM,76,43,Retired,7896.85,0
29.22,Debit,ATM,24,151,Student,1649.43,1
46.75,Debit,Branch,67,150,Retired,2840.43,1
348.64,Debit,Online,57,128,Retired,3274.96,1
319.17,Debit,Online,73,81,Retired,6501.56,0
73.95,Debit,ATM,26,76,Student,363.92,1
389.63,Debit,Online,27,99,Engineer,9748.48,2
217.61,Debit,ATM,19,45,Student,1404.53,1
199.84,Debit,ATM,21,150,Student,706.44,1
56.35,Debit,ATM,44,75,Doctor,5095.73,0
248.95,Credit,Branch,65,29,Retired,3059.79,1
142.58,Debit,ATM,33,145,Engineer,7844.23,0
333.78,Debit,ATM,60,98,Retired,6810.94,0
332.59,Debit,Online,55,143,Retired,1457.07,1
236.81,Debit,Branch,22,15,Student,813.68,1
417.8,Credit,Branch,27,130,Student,1518.82,1
319.27,Debit,ATM,50,150,Doctor,10269.78,2
384.1,Debit,Branch,42,172,Engineer,672.79,1
820.62,Credit,Branch,61,158,Doctor,6024.8,0
474.77,Credit,Online,56,50,Engineer,2158.59,1
542.72,Credit,Branch,43,92,Doctor,6011.8,0
79.8,Debit,ATM,73,76,Retired,6372.58,0
46.24,Debit,Branch,57,52,Engineer,2569.56,1
327.8,Debit,ATM,61,54,Doctor,10585.48,2
445.79,Debit,ATM,52,161,Doctor,717.99,1
55.89,Debit,Online,72,150,Retired,3689.65,1
158.41,Debit,Branch,28,16,Student,1512.16,1
101.19,Credit,Online,64,75,Doctor,14389.45,2
61.97,Debit,ATM,74,95,Retired,7014.69,0
27.21,Debit,ATM,79,102,Retired,3520.61,1
173.74,Debit,Online,80,64,Retired,4913.42,0
176.11,Debit,Branch,38,105,Engineer,9155.35,2
88.4,Debit,Online,46,174,Engineer,2567.53,1
567.92,Debit,Online,53,14,Retired,3779.47,1
138.11,Credit,Online,68,104,Retired,4177.65,0
456.93,Credit,Branch,28,193,Engineer,7284.76,0
101.42,Debit,Online,66,146,Retired,6530.59,0
300.61,Debit,Online,44,51,Doctor,7895.54,0
265.94,Debit,Online,54,132,Engineer,6781.3,0
345.54,Debit,Online,29,50,Engineer,2091.78,1
411.52,Debit,ATM,41,88,Doctor,11108.39,2
111.21,Debit,Branch,35,111,Doctor,9088.36,0
316.37,Debit,ATM,53,86,Engineer,4671.69,0
260.63,Debit,Branch,37,142,Engineer,7534.73,0
92.36,Debit,ATM,29,144,Engineer,6353.14,0
262.06,Debit,Branch,63,118,Doctor,13587.52,2
64.5,Debit,ATM,74,230,Retired,1351.24,1
175.94,Debit,ATM,57,89,Retired,3728.04,1
199.47,Debit,Online,57,142,Doctor,6067.44,0
51.07,Debit,Branch,63,133,Retired,4292.16,0
435.86,Debit,ATM,56,134,Retired,3801.82,1
74.73,Credit,Branch,64,162,Retired,6353.22,0
182.79,Credit,Online,23,14,Student,1251.85,1
628.36,Debit,Online,44,108,Doctor,11869.71,2
268.39,Debit,Online,29,177,Doctor,9409.43,2
362.27,Debit,ATM,80,47,Retired,6003.59,0
560.15,Credit,Online,50,92,Engineer,817.83,1
132.36,Debit,Branch,28,160,Student,319.65,1
24.77,Credit,Online,40,17,Engineer,478.23,1
80.24,Credit,Branch,53,58,Doctor,8012.81,0
8.65,Debit,ATM,68,198,Retired,4201.22,0
178.91,Debit,ATM,18,19,Student,8870.89,0
115.22,Debit,Branch,27,108,Engineer,906.2,1
161.63,Debit,Online,46,276,Doctor,9286.37,2
542.75,Credit,Branch,70,63,Retired,2224.08,1
317.47,Credit,Online,67,16,Doctor,14639.28,2
280.99,Debit,Branch,45,29,Engineer,9733.59,2
24.19,Debit,ATM,29,28,Engineer,2756.2,1
586.85,Debit,ATM,36,86,Doctor,6655.15,0
372.41,Debit,ATM,55,143,Retired,3233.87,1
63.17,Debit,ATM,20,148,Student,1676.57,1
383.69,Debit,Online,54,285,Engineer,8371.11,0
247.17,Credit,Branch,65,149,Retired,2611.64,1
48.78,Credit,Branch,18,136,Student,552.06,1
4.15,Credit,Branch,60,119,Retired,6017.36,0
60.99,Debit,Branch,34,58,Engineer,7281.46,0
408.19,Debit,Branch,26,241,Engineer,6847.47,0
524.6,Debit,Branch,58,76,Doctor,13017.7,2
108.96,Debit,ATM,26,247,Student,7597.66,0
70.03,Debit,Branch,63,49,Retired,7330.31,0
124.84,Debit,Online,52,79,Retired,6711.78,0
324.04,Debit,ATM,54,30,Retired,2248.06,1
39.69,Debit,Online,70,163,Retired,3524.68,1
157.7,Credit,Branch,58,46,Engineer,8332.58,0
81.27,Credit,Online,22,68,Student,1814.48,1
193.82,Debit,Branch,37,176,Engineer,3886.77,1
16.73,Debit,Online,79,165,Retired,7591.13,0
474.05,Debit,ATM,57,214,Retired,1484.31,1
637.75,Debit,Branch,79,152,Retired,4202.92,0
153.59,Credit,Branch,66,174,Retired,4813.12,0
186.6,Debit,Branch,18,139,Student,9716.68,2
644.08,Debit,Online,24,55,Student,1980.62,1
226.66,Debit,Branch,41,168,Doctor,10216.25,2
305.0,Debit,ATM,22,222,Student,944.83,1
233.1,Credit,Branch,42,37,Doctor,7469.2,0
793.13,Debit,Online,68,76,Doctor,13389.16,2
224.19,Debit,ATM,52,93,Doctor,8475.47,0
214.83,Credit,ATM,23,63,Student,991.69,1
163.46,Credit,Branch,63,111,Retired,6953.8,0
194.99,Debit,Branch,34,91,Engineer,1370.03,1
227.5,Debit,Online,34,277,Doctor,11505.35,2
259.9,Debit,Online,26,100,Student,914.28,1
59.51,Credit,Online,36,55,Doctor,9955.88,2
50.63,Debit,Online,64,143,Retired,4732.81,0
112.94,Credit,Online,73,31,Retired,3807.84,1
11.81,Debit,ATM,21,131,Student,320.25,1
329.14,Debit,Branch,55,14,Doctor,12033.92,2
154.24,Debit,ATM,61,82,Retired,6109.55,0
233.44,Debit,Online,20,297,Student,1691.88,1
141.8,Debit,ATM,18,116,Student,1697.67,1
209.03,Debit,Branch,55,126,Engineer,8359.5,0
261.14,Debit,ATM,42,162,Engineer,6100.08,0
101.81,Debit,ATM,45,105,Doctor,13872.03,2
98.71,Debit,ATM,32,117,Doctor,10095.23,2
87.38,Debit,Branch,21,252,Student,1504.99,1
83.39,Debit,Branch,32,158,Doctor,13182.11,2
267.55,Debit,Online,46,40,Engineer,4330.04,0
870.05,Debit,ATM,29,39,Doctor,905.25,1
154.32,Credit,ATM,38,269,Engineer,6972.5,0
164.51,Debit,Branch,78,110,Retired,3553.69,1
758.12,Debit,ATM,69,90,Retired,6164.65,0
103.76,Debit,Online,28,188,Engineer,9626.14,2
583.92,Debit,Online,55,139,Engineer,6364.14,0
204.06,Debit,Online,77,159,Retired,4351.83,0
53.51,Debit,Online,56,165,Retired,5773.5,0
52.95,Credit,Online,68,14,Retired,6335.58,0
120.17,Debit,ATM,49,105,Doctor,5403.79,0
220.8,Debit,Online,31,28,Engineer,8135.31,0
119.01,Debit,ATM,45,87,Doctor,9798.26,2
183.32,Debit,ATM,21,74,Student,137.42,1
858.88,Debit,Online,60,227,Engineer,7015.46,0
11.46,Credit,Online,41,128,Engineer,2356.71,1
61.37,Debit,Branch,75,164,Retired,4294.44,0
103.08,Credit,Branch,49,150,Engineer,9251.38,2
1.21,Debit,Branch,55,196,Retired,7542.74,0
425.18,Credit,Online,26,172,Engineer,9880.71,2
60.96,Debit,ATM,52,238,Retired,6189.24,0
64.21,Debit,ATM,51,37,Doctor,12540.18,2
523.02,Debit,Online,53,83,Retired,4586.11,0
50.26,Debit,Branch,65,164,Retired,1519.38,1
110.08,Debit,Branch,19,95,Student,1447.26,1
54.47,Credit,Branch,23,34,Student,1131.42,1
79.76,Debit,Online,68,115,Doctor,10278.75,2
16.79,Credit,Online,30,146,Doctor,535.15,1
68.62,Debit,Branch,29,157,Doctor,13891.47,2
157.16,Debit,Branch,20,280,Student,1545.77,1
643.38,Credit,Online,18,105,Student,1046.74,1
328.34,Credit,Online,42,31,Engineer,2840.45,1
72.68,Debit,Online,69,44,Retired,6216.77,0
354.76,Debit,Branch,51,279,Doctor,10141.92,2
793.88,Credit,ATM,22,252,Student,1404.06,1
29.22,Debit,ATM,27,69,Engineer,7795.79,0
653.97,Debit,Online,37,100,Engineer,3886.65,1
366.43,Credit,Online,21,92,Student,1560.45,1
233.74,Debit,Online,72,142,Retired,4749.54,0
471.84,Debit,ATM,18,138,Student,1044.33,1
213.4,Credit,Branch,73,100,Retired,2012.24,1
254.21,Debit,ATM,48,46,Engineer,2487.2,1
577.73,Debit,ATM,37,63,Doctor,14977.99,2
170.26,Debit,ATM,27,265,Student,1969.48,1
330.61,Credit,Branch,64,113,Retired,2525.25,1
132.33,Credit,ATM,35,47,Engineer,7457.94,0
672.74,Credit,Branch,46,118,Engineer,5386.52,0
74.04,Debit,Online,18,66,Student,1690.23,1
197.18,Debit,Online,28,135,Engineer,3114.92,1
21.15,Debit,Branch,70,180,Retired,3466.74,1
218.37,Debit,ATM,62,105,Doctor,9942.24,2
697.82,Debit,Online,44,153,Engineer,6824.0,0
148.0,Debit,Branch,20,35,Student,1488.65,1
22.26,Debit,Branch,19,56,Student,5583.88,0
0.86,Debit,ATM,25,139,Student,1357.22,1
757.1,Debit,Branch,65,203,Doctor,10553.23,2
38.81,Credit,Online,25,145,Student,1619.6,1
32.46,Debit,Online,31,10,Doctor,8656.18,0
20.64,Debit,Branch,22,59,Student,949.38,1
662.11,Debit,Branch,23,219,Student,1996.38,1
288.77,Debit,ATM,55,110,Engineer,8836.51,0
35.05,Debit,Branch,30,105,Doctor,14330.47,2
214.73,Credit,ATM,46,26,Doctor,5368.42,0
25.38,Debit,Branch,57,66,Engineer,8616.05,0
617.66,Debit,ATM,41,40,Engineer,5906.58,0
446.39,Debit,ATM,63,77,Retired,7863.6,0
377.92,Debit,Branch,33,204,Engineer,2254.71,1
11.04,Debit,Online,30,43,Engineer,6983.04,0
275.46,Debit,ATM,36,67,Doctor,9697.75,2
179.76,Debit,Online,78,81,Retired,5909.52,0
32.34,Debit,Branch,44,45,Doctor,7847.62,0
273.92,Debit,Branch,79,109,Retired,4543.56,0
375.45,Debit,Branch,19,32,Student,1307.23,1
388.98,Debit,ATM,23,155,Student,1819.91,1
492.84,Debit,ATM,25,38,Student,577.67,1
148.85,Debit,ATM,57,25,Doctor,7802.36,0
391.66,Debit,Branch,50,103,Engineer,2406.31,1
185.99,Credit,Branch,41,53,Engineer,402.45,1
322.48,Debit,ATM,27,57,Student,1238.43,1
20.27,Debit,Branch,18,22,Student,796.35,1
199.02,Debit,ATM,61,269,Retired,4658.89,0
104.23,Credit,Online,63,108,Retired,5009.29,0
55.86,Debit,Online,39,68,Engineer,5346.46,0
10.77,Debit,ATM,31,178,Doctor,10704.95,2
95.55,Debit,Branch,33,51,Engineer,2434.74,1
477.07,Debit,Online,27,278,Engineer,6568.07,0
9.1,Credit,Online,52,63,Retired,2791.45,1
21.41,Debit,Online,57,99,Doctor,658.91,1
278.28,Debit,Branch,28,26,Student,1346.88,1
388.1,Credit,Online,73,40,Retired,3022.12,1
215.39,Debit,ATM,27,216,Student,1582.55,1
194.37,Debit,ATM,66,161,Doctor,14395.88,2
37.7,Debit,ATM,20,109,Student,1741.1,1
19.59,Debit,Branch,64,122,Retired,1061.69,1
81.35,Debit,Online,41,103,Engineer,7192.45,0
314.54,Credit,Branch,58,228,Engineer,9923.45,2
466.64,Debit,ATM,58,11,Doctor,10915.11,2
397.01,Debit,ATM,22,100,Student,719.52,1
472.48,Debit,Branch,55,87,Engineer,7128.82,0
67.15,Debit,Online,59,14,Doctor,9028.49,0
102.67,Debit,Branch,79,119,Retired,4656.94,0
453.49,Debit,Branch,66,147,Doctor,6366.43,0
267.17,Debit,ATM,26,170,Student,1382.62,1
111.26,Debit,ATM,66,43,Doctor,14350.11,2
121.17,Debit,ATM,68,158,Doctor,12990.77,2
213.28,Debit,Branch,51,94,Retired,4835.91,0
187.88,Debit,ATM,60,180,Engineer,2154.58,1
471.88,Credit,Online,34,141,Doctor,14833.34,2
83.79,Debit,ATM,57,47,Engineer,5061.3,0
212.14,Debit,Branch,72,105,Retired,7225.06,0
99.16,Debit,Online,79,202,Retired,2607.58,1
839.33,Credit,Branch,60,86,Doctor,11538.97,2
4.24,Debit,Online,38,38,Engineer,7822.73,0
50.29,Credit,Online,58,64,Doctor,7604.9,0
135.85,Debit,Online,57,269,Retired,1480.39,1
368.53,Debit,Branch,68,34,Doctor,13696.31,2
17.95,Credit,Branch,64,135,Doctor,12344.9,2
127.8,Credit,Branch,31,47,Engineer,8630.99,0
16.73,Debit,Online,45,48,Engineer,2202.62,1
317.12,Debit,Branch,44,80,Doctor,14409.74,2
476.63,Debit,ATM,79,115,Retired,4894.25,0
156.58,Debit,Branch,24,160,Student,8981.61,0
55.12,Credit,Online,34,261,Engineer,3791.99,1
15.74,Debit,Branch,27,38,Student,690.16,1
353.68,Debit,Online,70,145,Retired,6777.12,0
297.15,Debit,Online,76,178,Retired,5449.37,0
647.85,Debit,Branch,36,121,Doctor,13779.97,2
75.04,Debit,ATM,49,178,Engineer,9648.6,2
273.92,Debit,Online,28,35,Student,1029.15,1
215.8,Credit,Branch,51,66,Retired,3656.62,1
420.6,Debit,Branch,26,55,Student,1778.75,1
688.36,Credit,Branch,23,22,Student,5191.13,0
285.18,Credit,Branch,55,150,Doctor,14847.97,2
213.55,Debit,ATM,63,15,Doctor,5238.37,0
463.11,Credit,Branch,51,159,Doctor,10238.82,2
150.03,Debit,ATM,73,176,Retired,7491.42,0
428.61,Debit,Branch,51,131,Retired,2116.36,1
309.56,Debit,Online,58,147,Doctor,972.04,1
377.08,Credit,Branch,26,71,Student,6430.86,0
77.25,Debit,Branch,68,157,Doctor,14077.97,2
146.92,Debit,ATM,64,272,Retired,3990.6,1
126.6,Debit,Branch,22,146,Student,961.65,1
101.34,Debit,ATM,24,46,Student,703.26,1
184.97,Debit,Branch,58,268,Doctor,1156.67,1
451.15,Debit,ATM,46,175,Engineer,1356.47,1
516.47,Credit,ATM,25,94,Student,1305.06,1
880.04,Debit,ATM,25,29,Student,261.97,1
353.69,Debit,Online,59,163,Engineer,9500.79,2
66.69,Credit,Branch,25,140,Student,1210.33,1
95.75,Debit,Branch,31,169,Engineer,337.62,1
43.91,Debit,Online,27,86,Student,1806.68,1
98.03,Debit,Branch,54,165,Engineer,6323.45,0
617.66,Debit,ATM,42,128,Engineer,7155.95,0
888.57,Debit,Online,62,102,Retired,7896.14,0
107.48,Debit,Branch,22,129,Student,591.23,1
36.57,Debit,ATM,62,69,Retired,2583.07,1
575.62,Debit,Online,43,129,Doctor,234.41,1
84.89,Debit,ATM,37,70,Engineer,4735.61,0
832.3,Credit,Branch,69,86,Retired,6617.52,0
7.76,Credit,Online,52,84,Retired,7393.11,0
109.3,Debit,Branch,56,27,Doctor,13510.11,2
230.08,Debit,Online,79,124,Retired,4466.1,0
361.92,Debit,ATM,54,111,Retired,7474.31,0
122.45,Debit,Branch,46,98,Doctor,7255.49,0
642.53,Debit,ATM,65,128,Doctor,11417.91,2
62.86,Debit,Branch,25,31,Student,1040.43,1
175.21,Credit,ATM,69,69,Doctor,6039.04,0
168.0,Credit,Branch,32,11,Engineer,3498.58,1
11.46,Debit,Online,67,73,Retired,6628.75,0
382.07,Credit,Branch,62,147,Doctor,10156.09,2
65.32,Debit,ATM,28,54,Student,9165.02,2
730.1,Credit,Branch,77,93,Retired,6384.05,0
85.31,Debit,ATM,62,27,Retired,6095.65,0
726.61,Debit,ATM,18,277,Student,1008.76,1
130.4,Debit,Branch,45,63,Engineer,4381.24,0
68.1,Debit,ATM,20,47,Student,1382.8,1
65.26,Debit,Branch,26,72,Student,7380.63,0
191.62,Debit,Branch,63,51,Doctor,1981.67,1
212.88,Debit,Online,39,122,Doctor,7036.72,0
88.38,Debit,ATM,30,138,Engineer,3707.82,1
48.77,Credit,Online,42,51,Engineer,2040.16,1
289.1,Debit,ATM,27,206,Student,267.53,1
390.09,Debit,Online,26,49,Engineer,2617.23,1
48.29,Debit,Online,37,242,Engineer,8883.4,0
333.83,Debit,ATM,63,135,Retired,1660.66,1
100.27,Debit,Online,79,51,Retired,4309.9,0
44.54,Debit,ATM,31,164,Engineer,362.4,1
82.17,Debit,Branch,28,21,Student,1913.06,1
447.42,Debit,Online,32,65,Engineer,6133.22,0
590.26,Credit,Branch,25,48,Student,1068.28,1
192.73,Debit,Branch,71,157,Retired,2037.75,1
146.01,Debit,Online,26,269,Student,221.79,1
11.57,Credit,Branch,56,64,Retired,2061.61,1
102.34,Debit,Online,51,78,Doctor,9326.28,2
7.82,Debit,ATM,36,273,Engineer,2240.49,1
79.43,Debit,ATM,74,72,Retired,6579.37,0
386.97,Debit,Branch,58,137,Retired,1876.35,1
51.22,Debit,Branch,23,82,Student,1664.59,1
256.05,Debit,ATM,54,35,Retired,6910.18,0
7.79,Debit,Branch,34,298,Doctor,1319.85,1
233.71,Debit,Branch,63,11,Doctor,6095.5,0
176.37,Debit,Branch,55,126,Retired,2420.86,1
122.63,Debit,Branch,21,153,Student,359.06,1
86.41,Debit,ATM,75,125,Retired,3128.71,1
21.57,Debit,ATM,54,71,Retired,7587.48,0
82.67,Debit,Branch,26,46,Student,290.59,1
451.35,Credit,Branch,47,223,Engineer,7707.96,0
299.42,Credit,Branch,63,53,Retired,4735.41,0
543.47,Debit,ATM,18,122,Student,6165.03,0
346.76,Credit,Branch,21,116,Student,1637.75,1
47.48,Debit,Branch,24,66,Student,585.52,1
64.92,Debit,Branch,58,236,Engineer,5481.76,0
350.72,Credit,ATM,28,48,Student,1982.9,1
3.8,Debit,Online,65,174,Doctor,5766.96,0
22.54,Debit,Online,26,42,Engineer,7139.11,0
767.14,Credit,Branch,62,38,Retired,4732.57,0
167.47,Debit,ATM,35,103,Engineer,2293.13,1
43.65,Credit,Branch,30,212,Engineer,2870.67,1
391.08,Debit,Online,56,105,Retired,6885.16,0
390.77,Debit,Online,44,34,Doctor,5500.56,0
508.16,Debit,ATM,39,131,Engineer,5609.44,0
36.76,Credit,Online,65,108,Retired,1228.93,1
332.33,Debit,ATM,27,101,Student,192.63,1
362.09,Debit,Branch,32,31,Engineer,6590.28,0
42.58,Debit,Online,30,80,Doctor,13485.0,2
122.35,Credit,Branch,53,188,Retired,6472.5,0
248.66,Debit,Online,28,113,Engineer,2571.39,1
461.25,Credit,Online,54,171,Doctor,676.1,1
61.77,Debit,Branch,56,49,Doctor,12352.2,2
268.92,Debit,Branch,29,148,Engineer,8765.38,0
219.02,Credit,Online,54,68,Engineer,7375.73,0
125.14,Debit,Branch,20,31,Student,1845.18,1
47.6,Debit,Online,53,115,Engineer,1382.51,1
592.82,Debit,Online,74,248,Retired,7508.98,0
372.5,Debit,ATM,22,211,Student,3901.82,1
4.72,Debit,Branch,32,20,Engineer,4792.01,0
144.93,Debit,Branch,42,74,Engineer,6887.52,0
316.56,Debit,Online,28,261,Engineer,8643.51,0
9.18,Debit,Online,22,140,Student,887.32,1
421.25,Debit,Online,25,66,Student,7174.69,0
185.71,Debit,Branch,48,194,Engineer,2679.91,1
26.27,Credit,Online,45,177,Engineer,8853.93,0
297.03,Debit,Online,61,151,Retired,1088.62,1
99.52,Debit,ATM,52,127,Engineer,3798.09,1
881.1,Debit,Branch,28,16,Student,9951.68,2
139.69,Debit,Online,52,180,Engineer,9567.94,2
42.72,Debit,ATM,37,143,Engineer,2669.66,1
112.72,Debit,Branch,31,17,Doctor,9630.0,2
568.88,Debit,Branch,19,105,Student,1307.86,1
189.03,Debit,ATM,28,50,Student,1916.46,1
199.8,Debit,ATM,20,163,Student,167.28,1
189.08,Debit,Branch,68,238,Doctor,10790.8,2
409.59,Debit,Online,35,50,Doctor,14563.02,2
